TWNRNGSEC,avg_d_mbps,avg_u_mbps,avg_lat_ms,cluster_labels
41N05W26,38.1058,4.0282,676.6,2
41N05W27,38.1058,4.0282,676.6,2
41N06E02,37.28,9.266,47.0,0
41N06E03,34.242,4.174125,46.0,0
41N06E04,40.58633333333333,2.0123333333333333,46.666666666666664,0
41N06E05,56.753,7.149,61.0,0
41N06E11,19.496,3.885,54.0,0
41N06E12,47.979,7.594,46.0,0
41N06E13,14.214384615384612,1.9386153846153849,71.76923076923077,0
41N06E14,90.74199999999999,18.5985,45.0,1
41N06E15,90.74199999999999,18.5985,45.0,1
41N06E24,43.42825,4.302825,59.775,0
41N07E18,24.397000000000002,4.112,36.333333333333336,0
41N07E19,61.04018181818182,5.823545454545454,166.0909090909091,0
41N07E22,34.973571428571425,2.5642857142857145,29.857142857142858,0
41N07E26,6.580000000000001,0.794,39.166666666666664,0
41N07E27,25.893,2.0551000000000004,36.8,0
41N07E29,2.692,4.242,41.0,0
42N01E01,30.738142857142858,16.705285714285715,45.714285714285715,1
42N01E02,92.197,6.837,66.0,1
42N01E07,30.108166666666666,3.0948333333333324,47.166666666666664,0
42N01E08,6.838,0.392,39.0,0
42N01E09,7.623666666666668,0.5423333333333332,45.333333333333336,0
42N01E12,36.05,45.363499999999995,45.0,1
42N01E13,1.243,0.407,63.0,0
42N01E16,7.623666666666668,0.5423333333333332,45.333333333333336,0
42N01E17,3.6705,0.6365000000000001,47.5,0
42N01E18,21.310294117647057,2.1996470588235293,73.76470588235294,0
42N01E19,48.08309375000002,5.133218749999999,77.9375,0
42N01E20,0.503,0.881,56.0,0
42N01E21,35.858,9.799,34.0,0
42N01E27,45.139,5.232666666666667,48.333333333333336,0
42N01E28,37.571600000000004,4.5665000000000004,49.0,0
42N01E29,46.869600000000005,6.439699999999999,66.25,0
42N01E30,49.512701754385965,6.286561403508775,60.228070175438596,0
42N01E31,37.25447014925372,5.20723880597015,90.92537313432835,0
42N01E32,38.266161290322565,5.532172043010753,87.72043010752688,0
42N01E33,40.50415044247785,6.47022123893805,68.51327433628319,0
42N01E34,52.2404761904762,7.831761904761903,79.0952380952381,0
42N01W02,29.42125,4.414375,39.25,0
42N01W03,32.65824,5.25824,46.52,0
42N01W04,31.81326,3.8591599999999984,70.1,0
42N01W05,7.081833333333333,1.3230000000000002,114.91666666666667,0
42N01W06,97.13874999999999,10.28975,206.0,1
42N01W07,159.7655,15.834,46.0,1
42N01W09,27.643083333333337,3.2165277777777774,45.19444444444444,0
42N01W10,34.4335,4.817666666666667,52.904761904761905,0
42N01W11,20.443857142857144,3.840214285714285,61.214285714285715,0
42N01W12,51.81233333333333,5.656666666666666,39.666666666666664,0
42N01W13,49.93666666666667,5.891666666666667,58.0,0
42N01W14,2.8569999999999998,0.6699999999999999,109.33333333333333,0
42N01W15,9.327,0.595,62.0,0
42N01W20,42.52911111111112,6.503222222222222,168.55555555555554,0
42N01W21,9.605,1.068,42.0,0
42N01W22,13.533,1.712,42.0,0
42N01W23,4.306,1.353,91.0,0
42N01W24,45.618724137931046,4.8761379310344815,232.0,0
42N01W25,49.91308333333334,10.073229166666666,51.125,1
42N01W26,4.8375,0.6805,55.0,0
42N01W27,36.409818181818174,5.7168636363636365,109.84848484848484,0
42N01W28,25.015969696969695,4.425742424242424,122.63636363636364,0
42N01W29,35.171600000000005,5.1366,110.85,0
42N01W30,12.570500000000001,3.99,604.25,2
42N01W31,34.107,9.781333333333334,44.333333333333336,0
42N01W32,56.36257142857142,9.342428571428572,50.0,1
42N01W34,44.98886486486487,5.623216216216216,61.21621621621622,0
42N01W35,19.069000000000003,3.865500000000001,182.25,0
42N01W36,41.54189583333333,6.833937499999998,55.072916666666664,0
42N02E01,15.967666666666666,1.2696666666666667,629.6666666666666,2
42N02E02,35.2065,4.9545,129.5,0
42N02E03,2.397,0.274,149.0,0
42N02E04,2.397,0.274,149.0,0
42N02E05,1.711,0.5416666666666666,53.0,0
42N02E06,76.66850000000001,7.117,56.0,1
42N02E07,153.263,13.608,55.0,1
42N02E08,78.61066666666667,8.901333333333334,54.0,1
42N02E09,2.397,0.274,149.0,0
42N02E10,2.397,0.274,149.0,0
42N02E11,35.2065,4.9545,129.5,0
42N02E13,63.326,11.716,49.0,1
42N02E31,104.74942857142857,44.623000000000005,35.857142857142854,1
42N02E32,49.53171875000001,14.576812499999997,125.4375,1
42N02W03,123.031,16.723,51.0,1
42N02W07,5.542,2.9475,711.5,2
42N02W10,123.031,16.723,51.0,1
42N02W18,67.21866666666666,5.772333333333333,466.0,2
42N02W19,81.83025,7.49725,363.75,1
42N02W34,19.211,4.149,631.0,2
42N02W35,19.211,4.149,631.0,2
42N03E05,57.047000000000004,13.5,61.0,1
42N03E06,57.047000000000004,13.5,61.0,1
42N03E07,22.287212765957452,2.9700000000000006,52.46808510638298,0
42N03E08,24.695741935483877,2.4474516129032255,51.38709677419355,0
42N03E16,23.695,2.904,48.0,0
42N03E17,28.37126315789474,3.498789473684209,50.78947368421053,0
42N03E18,27.76814705882353,4.828029411764707,51.5,0
42N03E20,9.121,2.980333333333333,614.3333333333334,2
42N03E21,34.81427272727273,13.464545454545453,275.6363636363636,1
42N03E22,40.888999999999996,9.60057142857143,166.71428571428572,0
42N03E23,1.853,1.7750000000000001,408.6666666666667,2
42N03E24,0.937,0.151,70.0,0
42N03E25,34.24783333333333,4.115833333333334,64.5,0
42N03E26,3.7623999999999995,1.4776000000000002,263.6,0
42N03E27,7.1385,0.6921666666666666,70.66666666666667,0
42N03E28,29.389999999999997,17.855000000000004,412.8,1
42N03E29,24.048666666666666,5.809333333333334,621.3333333333334,2
42N03E32,68.478,11.391,69.0,1
42N03E33,68.478,11.391,69.0,1
42N03E34,9.786,0.709,52.0,0
42N03E36,39.72163636363636,9.867090909090908,99.72727272727273,0
42N03W02,21.833,3.669,659.0,2
42N03W03,21.833,3.669,659.0,2
42N03W09,19.37,4.582,676.0,2
42N03W10,4.352,2.4775,662.75,2
42N03W11,80.30077777777778,9.806444444444445,388.77777777777777,1
42N03W14,243.982,24.433,56.0,1
42N03W20,2.4636666666666667,2.0243333333333333,53.666666666666664,0
